,Candida albicans_1,Candida albicans_2,Candida albicans_3,Candida albicans_4,Candida albicans_5,Candida albicans_6,Candida albicans_7,Candida albicans_8,Candida albicans_9,Candida albicans_10,Candida albicans_11,Candida albicans_12,Candida auris_13,Candida auris_14,Candida auris_15,Candida auris_16,Candida auris_17,Candida auris_18,Candida auris_19,Candida auris_20,Candida auris_21,Candida auris_22,Candida auris_23,Candida auris_24,Candida glabrata_25,Candida glabrata_26,Candida glabrata_27,Candida glabrata_28,Candida glabrata_29,Candida glabrata_30,Candida glabrata_31,Candida glabrata_32,Candida glabrata_33,Candida glabrata_34,Candida glabrata_35,Candida glabrata_36,Candida krusei_37,Candida krusei_38,Candida krusei_39,Candida krusei_40,Candida krusei_41,Candida krusei_42,Candida krusei_43,Candida krusei_44,Candida krusei_45,Candida krusei_46,Candida krusei_47,Candida krusei_48,Candida parapsilosis_49,Candida parapsilosis_50,Candida parapsilosis_51,Candida parapsilosis_52,Candida parapsilosis_53,Candida parapsilosis_54,Candida parapsilosis_55,Candida parapsilosis_56,Candida parapsilosis_57,Candida parapsilosis_58,Candida parapsilosis_59,Candida parapsilosis_60,Candida tropicalis_61,Candida tropicalis_62,Candida tropicalis_63,Candida tropicalis_64,Candida tropicalis_65,Candida tropicalis_66,Candida tropicalis_67,Candida tropicalis_68,Candida tropicalis_69,Candida tropicalis_70,Candida tropicalis_71,Candida tropicalis_72
Candida albicans_1,0,0.121807465618861,0.0905511811023622,0.0622489959839357,0.125748502994012,0.077079107505071,0.0792079207920792,0.0864440078585462,0.0825147347740668,0.0882352941176471,0.0365853658536585,0.0628683693516699,0.251515151515152,0.253012048192771,0.249240121580547,0.251515151515152,0.251515151515152,0.251515151515152,0.251515151515152,0.27683615819209,0.251515151515152,0.274285714285714,0.251515151515152,0.249240121580547,0.372294372294372,0.308539944903581,0.354761904761905,0.307692307692308,0.296296296296296,0.366430260047281,0.310580204778157,0.366952789699571,0.345679012345679,0.403389830508475,0.364321608040201,0.355329949238579,0.364485981308411,0.347517730496454,0.368544600938967,0.352798053527981,0.369411764705882,0.35632183908046,0.349246231155779,0.351620947630923,0.353488372093023,0.386934673366834,0.326370757180157,0.351598173515982,0.264900662251656,0.26133909287257,0.259593679458239,0.26410835214447,0.259593679458239,0.256465517241379,0.256465517241379,0.258064516129032,0.259593679458239,0.256465517241379,0.255458515283843,0.259593679458239,0.219066937119675,0.209445585215606,0.261146496815287,0.237603305785124,0.253731343283582,0.199588477366255,0.234343434343434,0.216470588235294,0.228395061728395,0.204255319148936,0.2125,0.226293103448276
Candida albicans_2,0.121807465618861,0,0.087378640776699,0.062,0.151183970856102,0.103030303030303,0.0731225296442688,0.0577281191806331,0.083984375,0.0786106032906764,0.0463414634146341,0.104125736738703,0.291793313069909,0.293051359516616,0.289634146341463,0.291793313069909,0.291793313069909,0.291793313069909,0.291793313069909,0.320113314447592,0.291793313069909,0.318051575931232,0.291793313069909,0.289634146341463,0.382795698924731,0.320547945205479,0.382417582417582,0.320113314447592,0.303680981595092,0.376470588235294,0.33125,0.387878787878788,0.356265356265356,0.403973509933775,0.381909547738693,0.368686868686869,0.375824175824176,0.371158392434988,0.392018779342723,0.372262773722628,0.378318584070796,0.386609071274298,0.376884422110553,0.385,0.381395348837209,0.398533007334963,0.35509138381201,0.360691144708423,0.271551724137931,0.266666666666667,0.267108167770419,0.271523178807947,0.267108167770419,0.262626262626263,0.266533066132265,0.266129032258065,0.267108167770419,0.265060240963855,0.268145161290323,0.267108167770419,0.242914979757085,0.23155737704918,0.281779661016949,0.255144032921811,0.267515923566879,0.223360655737705,0.23991935483871,0.251764705882353,0.254098360655738,0.228813559322034,0.226141078838174,0.262365591397849
Candida albicans_3,0.0905511811023622,0.087378640776699,0,0.028,0.0885826771653543,0.0646464646464646,0.0356435643564356,0.0485436893203883,0.050880626223092,0.0446601941747573,0.0048780487804878,0.0669291338582677,0.268292682926829,0.26969696969697,0.26605504587156,0.268292682926829,0.268292682926829,0.268292682926829,0.268292682926829,0.292613636363636,0.268292682926829,0.290229885057471,0.268292682926829,0.26605504587156,0.376344086021505,0.298630136986301,0.360655737704918,0.297450424929178,0.285276073619632,0.364705882352941,0.32,0.374207188160677,0.336609336609337,0.403973509933775,0.361809045226131,0.348484848484849,0.383371824480369,0.361702127659574,0.380281690140845,0.357664233576642,0.378504672897196,0.377272727272727,0.35427135678392,0.363408521303258,0.367441860465116,0.404466501240695,0.331592689295039,0.374717832957111,0.254347826086956,0.251063829787234,0.248888888888889,0.253333333333333,0.248888888888889,0.246808510638298,0.246808510638298,0.248407643312102,0.248888888888889,0.246808510638298,0.245161290322581,0.248888888888889,0.21501014198783,0.19917864476386,0.248407643312102,0.222222222222222,0.24416135881104,0.197125256673511,0.22020202020202,0.216470588235294,0.225409836065574,0.191082802547771,0.195426195426195,0.224137931034483
Candida albicans_4,0.0622489959839357,0.062,0.028,0,0.062753036437247,0.0585858585858586,0.0120240480961924,0.022,0.014,0.02,0.0048780487804878,0.0421686746987952,0.25609756097561,0.257575757575758,0.253822629969419,0.25609756097561,0.25609756097561,0.25609756097561,0.25609756097561,0.28125,0.25609756097561,0.278735632183908,0.25609756097561,0.253822629969419,0.355263157894737,0.295081967213115,0.335748792270531,0.293785310734463,0.281345565749235,0.348341232227488,0.282229965156794,0.35,0.330882352941176,0.384083044982699,0.358395989974937,0.342569269521411,0.352380952380952,0.340425531914894,0.352380952380952,0.344660194174757,0.355932203389831,0.342723004694836,0.348370927318296,0.353383458646617,0.341176470588235,0.376923076923077,0.325520833333333,0.33953488372093,0.248878923766816,0.246153846153846,0.243119266055046,0.247706422018349,0.243119266055046,0.241758241758242,0.241758241758242,0.243421052631579,0.243119266055046,0.241758241758242,0.239467849223947,0.243119266055046,0.186858316221766,0.182751540041068,0.24416135881104,0.198329853862213,0.226694915254237,0.172484599589322,0.19672131147541,0.211267605633803,0.197938144329897,0.186836518046709,0.185031185031185,0.21551724137931
Candida albicans_5,0.125748502994012,0.151183970856102,0.0885826771653543,0.062753036437247,0,0.104294478527607,0.072289156626506,0.0793950850661626,0.0753968253968254,0.100185528756957,0.0365853658536585,0.103792415169661,0.289719626168224,0.291021671826625,0.2875,0.289719626168224,0.289719626168224,0.289719626168224,0.289719626168224,0.31304347826087,0.289719626168224,0.310850439882698,0.289719626168224,0.2875,0.356837606837607,0.291553133514986,0.360262008733624,0.290140845070423,0.274390243902439,0.348130841121495,0.306501547987616,0.373493975903614,0.332518337408313,0.383606557377049,0.35678391959799,0.347607052896725,0.390350877192982,0.369304556354916,0.379391100702576,0.368932038834951,0.387387387387387,0.396963123644252,0.369346733668342,0.387755102040816,0.377358490566038,0.385365853658537,0.349869451697128,0.38646288209607,0.275268817204301,0.284253578732106,0.257709251101322,0.259911894273128,0.257709251101322,0.282786885245902,0.286585365853659,0.282208588957055,0.257709251101322,0.285132382892057,0.286290322580645,0.257709251101322,0.216049382716049,0.208333333333333,0.254310344827586,0.226337448559671,0.237791932059448,0.208333333333333,0.211065573770492,0.216470588235294,0.22680412371134,0.209051724137931,0.20464135021097,0.240700218818381
Candida albicans_6,0.077079107505071,0.103030303030303,0.0646464646464646,0.0585858585858586,0.104294478527607,0,0.0587044534412955,0.0646464646464646,0.0686868686868687,0.0626262626262626,0.0048780487804878,0.0466531440162272,0.256880733944954,0.258358662613982,0.254601226993865,0.256880733944954,0.256880733944954,0.256880733944954,0.256880733944954,0.282051282051282,0.256880733944954,0.279538904899135,0.256880733944954,0.254601226993865,0.36,0.301369863013699,0.338235294117647,0.30028328611898,0.288343558282209,0.353365384615385,0.284697508896797,0.354625550660793,0.339066339066339,0.392226148409894,0.35678391959799,0.340909090909091,0.357487922705314,0.345238095238095,0.355072463768116,0.35036496350365,0.355392156862745,0.34916864608076,0.349246231155779,0.35427135678392,0.343675417661098,0.380208333333333,0.326370757180157,0.344339622641509,0.263038548752834,0.26,0.25754060324826,0.262180974477958,0.25754060324826,0.255555555555556,0.255555555555556,0.257206208425721,0.25754060324826,0.255555555555556,0.253363228699552,0.25754060324826,0.228690228690229,0.226611226611227,0.265957446808511,0.241014799154334,0.269230769230769,0.216216216216216,0.232365145228216,0.211764705882353,0.242171189979123,0.21063829787234,0.225,0.220302375809935
Candida albicans_7,0.0792079207920792,0.0731225296442688,0.0356435643564356,0.0120240480961924,0.072289156626506,0.0587044534412955,0,0.0237154150197628,0.0158102766798419,0.0316205533596838,0,0.0514851485148515,0.264437689969605,0.265861027190332,0.26219512195122,0.264437689969605,0.264437689969605,0.264437689969605,0.264437689969605,0.288951841359773,0.264437689969605,0.286532951289398,0.264437689969605,0.26219512195122,0.361655773420479,0.293956043956044,0.34052757793765,0.292613636363636,0.28,0.35377358490566,0.289655172413793,0.356371490280778,0.332512315270936,0.393835616438356,0.35678391959799,0.344303797468354,0.360849056603774,0.347517730496454,0.358490566037736,0.345498783454988,0.366666666666667,0.354988399071926,0.349246231155779,0.36,0.353488372093023,0.385786802030457,0.326370757180157,0.354838709677419,0.255555555555556,0.245652173913043,0.25,0.254545454545455,0.25,0.240780911062907,0.240780911062907,0.242424242424242,0.25,0.240780911062907,0.246153846153846,0.25,0.182926829268293,0.17864476386037,0.246284501061571,0.203319502074689,0.225531914893617,0.180698151950719,0.204868154158215,0.211764705882353,0.207392197125257,0.180467091295117,0.178794178794179,0.219827586206897
Candida albicans_8,0.0864440078585462,0.0577281191806331,0.0485436893203883,0.022,0.0793950850661626,0.0646464646464646,0.0237154150197628,0,0.033203125,0.0167597765363128,0,0.0648330058939096,0.270516717325228,0.27190332326284,0.268292682926829,0.270516717325228,0.270516717325228,0.270516717325228,0.270516717325228,0.294617563739377,0.270516717325228,0.292263610315186,0.270516717325228,0.268292682926829,0.359139784946237,0.293150684931507,0.352678571428571,0.291784702549575,0.279141104294479,0.352941176470588,0.309375,0.366396761133603,0.331695331695332,0.387417218543046,0.35678391959799,0.343434343434343,0.348017621145374,0.352245862884161,0.366197183098592,0.345498783454988,0.353333333333333,0.355119825708061,0.349246231155779,0.365,0.36046511627907,0.371638141809291,0.326370757180157,0.339092872570194,0.243534482758621,0.224032586558045,0.236203090507726,0.240618101545254,0.236203090507726,0.221544715447154,0.219512195121951,0.223123732251521,0.236203090507726,0.219512195121951,0.222222222222222,0.236203090507726,0.194331983805668,0.184426229508197,0.245762711864407,0.218106995884774,0.231422505307856,0.190573770491803,0.199596774193548,0.211764705882353,0.219262295081967,0.180084745762712,0.178423236514523,0.223655913978495
Candida albicans_9,0.0825147347740668,0.083984375,0.050880626223092,0.014,0.0753968253968254,0.0686868686868687,0.0158102766798419,0.033203125,0,0.041015625,0.0048780487804878,0.0648330058939096,0.270516717325228,0.27190332326284,0.268292682926829,0.270516717325228,0.270516717325228,0.270516717325228,0.270516717325228,0.294617563739377,0.270516717325228,0.292263610315186,0.270516717325228,0.268292682926829,0.361290322580645,0.293150684931507,0.340425531914894,0.291784702549575,0.279141104294479,0.352941176470588,0.290540540540541,0.356076759061834,0.331695331695332,0.389261744966443,0.35427135678392,0.343434343434343,0.351981351981352,0.352245862884161,0.359154929577465,0.347931873479319,0.364705882352941,0.353211009174312,0.349246231155779,0.365,0.355813953488372,0.378446115288221,0.328981723237598,0.353075170842825,0.265350877192982,0.248927038626609,0.257847533632287,0.262331838565022,0.257847533632287,0.252676659528908,0.252676659528908,0.254273504273504,0.257847533632287,0.252676659528908,0.258134490238612,0.257847533632287,0.180161943319838,0.184426229508197,0.247881355932203,0.213991769547325,0.227176220806794,0.186475409836066,0.205645161290323,0.216470588235294,0.202868852459016,0.188559322033898,0.186721991701245,0.23010752688172
Candida albicans_10,0.0882352941176471,0.0786106032906764,0.0446601941747573,0.02,0.100185528756957,0.0626262626262626,0.0316205533596838,0.0167597765363128,0.041015625,0,0,0.0667976424361493,0.277611940298507,0.27893175074184,0.275449101796407,0.277611940298507,0.277611940298507,0.277611940298507,0.277611940298507,0.301675977653631,0.277611940298507,0.299435028248588,0.277611940298507,0.275449101796407,0.359139784946237,0.293150684931507,0.356043956043956,0.291784702549575,0.279141104294479,0.352941176470588,0.309375,0.367676767676768,0.331695331695332,0.387417218543046,0.35678391959799,0.343434343434343,0.342857142857143,0.352245862884161,0.366197183098592,0.347931873479319,0.350220264317181,0.3585313174946,0.349246231155779,0.366995073891626,0.36046511627907,0.371638141809291,0.328981723237598,0.336933045356371,0.241379310344828,0.238383838383838,0.236203090507726,0.240618101545254,0.236203090507726,0.242424242424242,0.244488977955912,0.245967741935484,0.236203090507726,0.242971887550201,0.23991935483871,0.236203090507726,0.207661290322581,0.190184049079755,0.244769874476987,0.213991769547325,0.231422505307856,0.192622950819672,0.215139442231076,0.211764705882353,0.213114754098361,0.190677966101695,0.184647302904564,0.229299363057325
Candida albicans_11,0.0365853658536585,0.0463414634146341,0.0048780487804878,0.0048780487804878,0.0365853658536585,0.0048780487804878,0,0,0.0048780487804878,0,0,0.00731707317073171,0.296028880866426,0.297491039426523,0.293478260869565,0.296028880866426,0.296028880866426,0.296028880866426,0.296028880866426,0.322259136212625,0.296028880866426,0.31986531986532,0.296028880866426,0.293478260869565,0.334140435835351,0.278592375366569,0.308310991957105,0.276595744680851,0.26158940397351,0.321052631578947,0.231707317073171,0.331719128329298,0.316753926701571,0.350806451612903,0.35,0.327272727272727,0.37431693989071,0.375690607734807,0.37431693989071,0.37431693989071,0.375706214689266,0.377049180327869,0.376373626373626,0.394886363636364,0.373961218836565,0.377049180327869,0.355491329479769,0.37431693989071,0.226158038147139,0.227642276422764,0.227642276422764,0.233062330623306,0.227642276422764,0.227642276422764,0.227642276422764,0.227642276422764,0.227642276422764,0.227642276422764,0.227642276422764,0.227642276422764,0.201511335012594,0.201511335012594,0.221105527638191,0.217171717171717,0.21608040201005,0.201511335012594,0.201005025125628,0.206632653061224,0.208542713567839,0.202020202020202,0.201511335012594,0.21356783919598
Candida albicans_12,0.0628683693516699,0.104125736738703,0.0669291338582677,0.0421686746987952,0.103792415169661,0.0466531440162272,0.0514851485148515,0.0648330058939096,0.0648330058939096,0.0667976424361493,0.00731707317073171,0,0.25531914893617,0.256797583081571,0.253048780487805,0.25531914893617,0.25531914893617,0.25531914893617,0.25531914893617,0.280453257790368,0.25531914893617,0.277936962750716,0.25531914893617,0.253048780487805,0.365800865800866,0.303030303030303,0.345238095238095,0.301994301994302,0.290123456790123,0.359338061465721,0.296928327645051,0.360515021459227,0.340740740740741,0.410169491525424,0.35929648241206,0.350253807106599,0.366822429906542,0.347517730496454,0.363849765258216,0.35036496350365,0.370283018867925,0.358620689655172,0.349246231155779,0.3525,0.344186046511628,0.389447236180905,0.326370757180157,0.353881278538813,0.271523178807947,0.267818574514039,0.266365688487585,0.270880361173815,0.266365688487585,0.262931034482759,0.262931034482759,0.264516129032258,0.266365688487585,0.262931034482759,0.262008733624454,0.266365688487585,0.211382113821138,0.205761316872428,0.253191489361702,0.227272727272727,0.247334754797441,0.195473251028807,0.224696356275304,0.214117647058824,0.226337448559671,0.195744680851064,0.204166666666667,0.220302375809935
Candida auris_13,0.251515151515152,0.291793313069909,0.268292682926829,0.25609756097561,0.289719626168224,0.256880733944954,0.264437689969605,0.270516717325228,0.270516717325228,0.277611940298507,0.296028880866426,0.25531914893617,0,0,0,0,0,0,0,0,0,0,0,0,0.320557491289199,0.291497975708502,0.310861423220974,0.291497975708502,0.308333333333333,0.327272727272727,0.183783783783784,0.316151202749141,0.328519855595668,0.294117647058824,0.346570397111913,0.336996336996337,0.282608695652174,0.258358662613982,0.280373831775701,0.283489096573209,0.261904761904762,0.267692307692308,0.278996865203762,0.358395989974937,0.26219512195122,0.301369863013699,0.277258566978193,0.268882175226586,0.296178343949045,0.287925696594427,0.287128712871287,0.287128712871287,0.287128712871287,0.280864197530864,0.280864197530864,0.283076923076923,0.287128712871287,0.280864197530864,0.279874213836478,0.287128712871287,0.265060240963855,0.257575757575758,0.327635327635328,0.26791277258567,0.318471337579618,0.243161094224924,0.289325842696629,0.293548387096774,0.28,0.25531914893617,0.258358662613982,0.277611940298507
Candida auris_14,0.253012048192771,0.293051359516616,0.26969696969697,0.257575757575758,0.291021671826625,0.258358662613982,0.265861027190332,0.27190332326284,0.27190332326284,0.27893175074184,0.297491039426523,0.256797583081571,0,0,0,0,0,0,0,0,0,0,0,0,0.321799307958477,0.293172690763052,0.312267657992565,0.293172690763052,0.309917355371901,0.328519855595668,0.18716577540107,0.31740614334471,0.329749103942652,0.296296296296296,0.347670250896057,0.338181818181818,0.283950617283951,0.259818731117825,0.281733746130031,0.284829721362229,0.263513513513513,0.269113149847095,0.280373831775701,0.355329949238579,0.263636363636364,0.302721088435374,0.278637770897833,0.27027027027027,0.29746835443038,0.289230769230769,0.288524590163934,0.288524590163934,0.288524590163934,0.282208588957055,0.282208588957055,0.284403669724771,0.288524590163934,0.282208588957055,0.28125,0.288524590163934,0.269461077844311,0.262048192771084,0.331444759206799,0.272445820433437,0.322784810126582,0.24773413897281,0.293296089385475,0.298076923076923,0.284403669724771,0.259818731117825,0.262839879154079,0.281899109792285
Candida auris_15,0.249240121580547,0.289634146341463,0.26605504587156,0.253822629969419,0.2875,0.254601226993865,0.26219512195122,0.268292682926829,0.268292682926829,0.275449101796407,0.293478260869565,0.253048780487805,0,0,0,0,0,0,0,0,0,0,0,0,0.318181818181818,0.288617886178862,0.308270676691729,0.288617886178862,0.305439330543933,0.324817518248175,0.179347826086957,0.313793103448276,0.326086956521739,0.290322580645161,0.344202898550725,0.334558823529412,0.280373831775701,0.25609756097561,0.278125,0.28125,0.25938566552901,0.265432098765432,0.276729559748428,0.35678391959799,0.259938837920489,0.298969072164948,0.275,0.266666666666667,0.293929712460064,0.285714285714286,0.28476821192053,0.28476821192053,0.28476821192053,0.278637770897833,0.278637770897833,0.280864197530864,0.28476821192053,0.278637770897833,0.277602523659306,0.28476821192053,0.262839879154079,0.25531914893617,0.325714285714286,0.265625,0.31629392971246,0.240853658536585,0.287323943661972,0.29126213592233,0.277777777777778,0.253048780487805,0.25609756097561,0.275449101796407
Candida auris_16,0.251515151515152,0.291793313069909,0.268292682926829,0.25609756097561,0.289719626168224,0.256880733944954,0.264437689969605,0.270516717325228,0.270516717325228,0.277611940298507,0.296028880866426,0.25531914893617,0,0,0,0,0,0,0,0,0,0,0,0,0.320557491289199,0.291497975708502,0.310861423220974,0.291497975708502,0.308333333333333,0.327272727272727,0.183783783783784,0.316151202749141,0.328519855595668,0.294117647058824,0.346570397111913,0.336996336996337,0.282608695652174,0.258358662613982,0.280373831775701,0.283489096573209,0.261904761904762,0.267692307692308,0.278996865203762,0.358395989974937,0.26219512195122,0.301369863013699,0.277258566978193,0.268882175226586,0.296178343949045,0.287925696594427,0.287128712871287,0.287128712871287,0.287128712871287,0.280864197530864,0.280864197530864,0.283076923076923,0.287128712871287,0.280864197530864,0.279874213836478,0.287128712871287,0.265060240963855,0.257575757575758,0.327635327635328,0.26791277258567,0.318471337579618,0.243161094224924,0.289325842696629,0.293548387096774,0.28,0.25531914893617,0.258358662613982,0.277611940298507
Candida auris_17,0.251515151515152,0.291793313069909,0.268292682926829,0.25609756097561,0.289719626168224,0.256880733944954,0.264437689969605,0.270516717325228,0.270516717325228,0.277611940298507,0.296028880866426,0.25531914893617,0,0,0,0,0,0,0,0,0,0,0,0,0.320557491289199,0.291497975708502,0.310861423220974,0.291497975708502,0.308333333333333,0.327272727272727,0.183783783783784,0.316151202749141,0.328519855595668,0.294117647058824,0.346570397111913,0.336996336996337,0.282608695652174,0.258358662613982,0.280373831775701,0.283489096573209,0.261904761904762,0.267692307692308,0.278996865203762,0.358395989974937,0.26219512195122,0.301369863013699,0.277258566978193,0.268882175226586,0.296178343949045,0.287925696594427,0.287128712871287,0.287128712871287,0.287128712871287,0.280864197530864,0.280864197530864,0.283076923076923,0.287128712871287,0.280864197530864,0.279874213836478,0.287128712871287,0.265060240963855,0.257575757575758,0.327635327635328,0.26791277258567,0.318471337579618,0.243161094224924,0.289325842696629,0.293548387096774,0.28,0.25531914893617,0.258358662613982,0.277611940298507
